Year,BD_159,BD_160,BD_161,BD_162,BD_163,BD_164,BD_165,BD_166,BD_167,BD_168,BH_113,BH_114,BH_115,BH_116,BH_117,BH_118,BH_119,BH_120,BH_121,BH_122,FC_169,FC_170,FC_171,FC_172,FC_173,FC_174,FC_175,FC_176,FC_177,FC_178,HM1_51,HM1_52,HM1_53,HM1_55,HM1_99,HM1_111,HM1_112,HM1_136,HM1_137,HM1_138,HM6_139,HM6_140,HM6_141,HM6_152,HM6_153,HM6_154,HM6_155,HM6_156,HM6_157,HM6_158,LH_45,LH_71,LH_L73,LH_L116,LH_123,LH_188,LH_201,LH_204,LH_221,LH_300,WT1_73,WT1_75,WT1_76,WT1_142,WT1_143,WT1_144,WT1_145,WT1_146,WT1_147,WT1_148,WT2_77,WT2_78,WT2_79,WT2_80,WT2_81,WT2_82,WT2_83,WT2_149,WT2_150,WT2_151
1942,0.465,2.062,0.345,0.499,0.585,0.511,0.627,,,0.376,2.427,,,1.017,0.138,1.276,0.86,0.254,0.439,0.397,,,,,,,,,,,2.724,,,,0.33,5.519,1.868,,2.614,,1.183,1.46,1.212,2.709,,3.032,3.398,2.144,1.712,2.383,0.818,,1.294,1.666,,3.445,0.98,1.457,,1.267,3.102,2.934,,1.567,2.068,1.031,,1.949,2.023,2.04,3.139,1.817,4.116,,,,6.924,,,
1941,0.583,1.511,0.325,0.575,0.419,0.911,0.608,,,0.404,2.631,,,0.686,0.151,1.173,0.745,0.245,0.45,0.242,,,,,,,,,,,3.695,,,,1.336,5.472,4.27,,1.902,,1.137,1.743,1.357,1.822,,2.63,3.121,1.752,1.424,2.781,0.806,,1.01,1.52,,2.001,2.679,1.16,,1.336,3.248,2.893,,1.242,1.673,1.182,,2.554,1.713,2.204,2.852,1.06,3.847,,,,,,,
1940,0.656,2.168,0.59,0.429,0.44,0.668,0.269,,,0.281,2.796,,,1.087,0.176,1.634,0.692,0.288,0.502,0.424,,,,,,,,,,,3.604,,,,1.984,,6.412,,0.893,,0.958,1.411,1.064,1.849,,2.241,3.757,1.605,1.4,2.278,0.403,,0.765,3.851,,1.854,1.951,0.715,,1.564,2.186,2.024,,0.839,1.42,1.284,,2.584,0.863,1.174,2.612,1.204,4.4,,,,,,,
1939,0.593,2.95,0.494,0.307,0.563,0.62,0.537,,,0.144,2.078,,,1.034,0.117,0.962,0.718,0.137,0.32,0.24,,,,,,,,,,,4.627,,,,2.469,,5.573,,1.451,,1.144,1.072,0.798,1.133,,2.095,2.977,1.568,0.498,1.474,0.743,,1.121,2.292,,2.42,1.491,1.515,,0.708,2.533,2.544,,0.87,1.431,0.891,,1.984,1.668,1.445,2.463,1.314,2.399,,,,,,,
1938,0.469,1.201,0.643,0.92,0.393,0.478,0.681,,,0.44,2.873,,,1.305,0.119,1.075,0.584,0.319,0.333,0.282,,,,,,,,,,,3.177,,,,0.769,,,,1.835,,1.984,0.906,0.754,1.314,,2.584,2.491,0.741,1.413,2.055,0.911,,0.901,2.058,,2.48,0.85,0.942,,1.389,4.184,3.957,,1.282,2.582,1.654,,2.266,3.039,2.602,0.829,0.516,2.661,,,,,,,
1937,0.323,2.33,1.177,0.644,0.417,0.357,0.162,,,0.195,3.236,,,0.714,0.198,1.273,0.863,0.353,0.386,0.222,,,,,,,,,,,2.486,,,,2.74,,,,1.257,,0.805,1.074,0.62,1.357,,1.606,3.373,1.172,0.923,0.982,0.674,,0.79,1.151,,2.888,1.2,0.677,,1.383,3.383,3.248,,0.78,1.634,0.96,,2.499,2.783,1.904,0.971,0.238,1.934,,,,,,,
1936,0.554,2.389,1.623,0.706,0.313,0.937,0.439,,,0.273,2.975,,,0.732,0.154,1.076,1.098,0.404,0.289,0.253,,,,,,,,,,,,,,,1.509,,,,1.108,,0.946,1.676,1.125,1.598,,1.952,2.309,1.05,1.114,1.041,0.724,,0.595,1.378,,,1.129,0.601,,0.776,3.08,3.068,,0.643,1.765,1.132,,1.813,3.016,1.218,1.647,0.281,1.652,,,,,,,
1935,0.497,3.483,1.903,0.901,0.465,0.549,0.54,,,0.136,1.744,,,0.537,0.446,0.965,0.905,0.229,0.252,0.247,,,,,,,,,,,,,,,1.138,,,,0.893,,0.784,1.407,1.224,1.426,,2.006,1.81,1.281,1.246,0.544,0.401,,0.411,2.08,,,0.809,0.181,,0.774,2.848,3.133,,0.91,2.413,1.354,,1.283,2.376,1.822,0.741,0.443,0.337,,,,,,,
1934,0.614,2.846,1.264,0.719,0.261,0.612,0.579,,,0.253,1.685,,,1.129,0.06,0.995,0.613,0.296,0.301,0.163,,,,,,,,,,,,,,,1.179,,,,1.524,,,1.964,0.843,1.057,,2.001,2.907,1.233,0.991,0.74,0.251,,0.553,1.797,,,1.531,0.64,,0.305,2.728,2.331,,0.337,1.964,0.5,,2.695,1.586,1.518,0.481,0.491,1.333,,,,,,,
1933,0.949,3.293,1.195,0.593,0.282,0.785,0.826,,,0.35,1.96,,,1.043,0.114,1.593,0.593,0.334,0.289,0.16,,,,,,,,,,,,,,,0.6,,,,1.854,,,1.142,0.988,1.548,,1.593,2.206,0.799,1.004,0.382,0.146,,0.518,1.379,,,0.291,0.45,,0.573,1.894,2.723,,0.753,1.767,0.954,,2.042,2.096,2.173,0.912,2.206,1.707,,,,,,,
1932,1.182,3.663,1.581,0.638,0.773,0.728,0.531,,,0.152,1.645,,,1.325,0.384,2.075,0.853,0.352,0.319,0.239,,,,,,,,,,,,,,,1.076,,,,0.422,,,1.237,0.928,1.239,,1.383,2.991,1.244,0.652,0.641,0.373,,0.517,0.615,,,0.168,0.291,,0.285,0.602,2.817,,0.357,1.279,0.622,,2.906,1.692,0.938,0.862,2.221,1.707,,,,,,,
1931,0.89,4.17,1.496,0.52,0.86,0.584,0.76,,,0.298,1.903,,,1.151,0.154,1.944,0.868,0.276,0.282,0.19,,,,,,,,,,,,,,,1.782,,,,2.185,,,1.848,1.204,1.822,,1.887,1.535,0.803,1.161,0.95,0.537,,0.609,1.288,,,0.18,0.919,,0.264,1.24,2.273,,0.703,1.806,1.172,,,2.411,2.632,1.652,1.772,2.172,,,,,,,
1930,1.211,4.47,1.76,0.491,0.751,0.56,1.263,,,0.353,1.609,,,1.454,0.128,2.003,0.771,0.159,0.166,0.075,,,,,,,,,,,,,,,1.156,,,,2.799,,,2.329,1.982,2.116,,1.736,3.006,1.341,1.135,0.79,0.628,,0.46,0.965,,,0.391,0.926,,0.469,0.866,1.377,,0.564,1.454,0.591,,,2.2,2.37,1.184,3.596,2.597,,,,,,,
1929,1.019,4.719,2.243,1.162,1.035,0.642,1.261,,,0.241,1.472,,,1.255,0.22,1.577,0.81,0.269,0.197,0.233,,,,,,,,,,,,,,,1.043,,,,2.419,,,1.832,1.484,1.975,,1.339,2.727,1.681,0.968,1.03,0.354,,0.647,0.897,,,0.218,0.9,,1.11,1.47,3.322,,0.727,1.15,0.679,,,1.607,2.878,4.544,1.593,4.726,,,,,,,
1928,1.184,5.323,1.764,1.101,0.931,0.485,1.048,,,0.273,2.327,,,1.25,0.162,1.749,0.78,0.14,0.22,0.071,,,,,,,,,,,,,,,1.352,,,,3.272,,,1.454,1.68,2.065,,2.158,3.444,1.51,1.126,1.38,0.434,,0.627,2.051,,,3.265,0.978,,0.971,1.133,2.437,,1.403,2.108,1.49,,,4.194,3.59,9.486,2.117,5.867,,,,,,,
1927,0.773,5.23,1.423,1.38,0.987,1,1.118,,,0.212,2.213,,,1.454,0.188,1.466,0.804,0.112,0.143,0.149,,,,,,,,,,,,,,,1.426,,,,4.431,,,1.083,1.65,1.915,,2.351,4.676,1.957,1.761,1.303,0.547,,0.646,0.437,,,4,0.83,,0.864,3.18,3.076,,0.487,1.971,0.753,,,4.963,2.591,7.709,2.647,7.823,,,,,,,
1926,1.289,3.581,1.919,1.045,0.437,1.162,0.89,,,0.393,2.502,,,1.609,0.158,1.575,0.828,0.163,0.21,0.137,,,,,,,,,,,,,,,1.765,,,,4.592,,,1.211,1.645,1.564,,2.347,4.965,2.312,1.326,1.614,0.062,,0.633,1.461,,,4.148,0.847,,0.782,,1.999,,1.461,2.51,1.409,,,5.728,3.815,,1.798,,,,,,,,
1925,1.439,5.44,1.861,0.845,0.913,1.418,0.356,,,0.168,1.254,,,1.553,0.125,1.416,0.908,0.168,0.249,0.093,,,,,,,,,,,,,,,1.314,,,,4.092,,,0.545,0.91,1.385,,1.139,5.456,2.157,1.03,0.505,0.85,,0.286,1.703,,,,0.37,,1.092,,1.777,,0.522,1.373,0.563,,,1.775,1.07,,1.069,,,,,,,,
1924,1.281,5.465,1.81,0.799,1.333,0.856,0.914,,,0.248,1.805,,,2.236,0.164,1.47,0.815,0.153,0.145,0.118,,,,,,,,,,,,,,,1.192,,,,4.758,,,0.543,1.285,1.501,,0.893,2.793,1.357,1.506,0.565,1.016,,1.044,0.323,,,,1.984,,0.182,,1.184,,1.27,1.587,1.058,,,4.46,2.27,,3.086,,,,,,,,
1923,1.768,5.766,2.002,0.83,1.179,0.946,0.945,,,0.416,1.831,,,4.378,0.217,1.554,0.778,0.308,0.224,0.155,,,,,,,,,,,,,,,,,,,4.593,,,0.616,1.256,1.741,,2.927,4.835,1.636,1.31,1.785,0.827,,0.981,1.499,,,,1.508,,0.842,,2.332,,0.947,1.858,1.298,,,3,1.821,,1.475,,,,,,,,
1922,1.22,5.225,1.312,0.768,1.209,0.917,0.561,,,0.31,1.539,,,4.672,0.247,3.007,0.924,0.198,0.241,0.144,,,,,,,,,,,,,,,,,,,4.919,,,0.565,1.265,2.255,,2.707,,1.235,1.424,1.963,0.977,,0.6,1.044,,,,1.166,,0.6,,3.686,,0.899,1.965,1.198,,,3.448,2.53,,1.628,,,,,,,,
1921,1.049,5.708,1.721,0.742,0.712,0.984,0.792,,,0.393,2.059,,,3.603,0.168,2.924,1.056,0.2,0.276,0.115,,,,,,,,,,,,,,,,,,,6.931,,,0.605,1.133,2.053,,3.752,,1.827,1.701,,0.607,,0.885,0.253,,,,1.163,,0.792,,4.827,,1.087,2.799,1.584,,,,4.069,,1.01,,,,,,,,
1920,1.858,5.712,2.728,1.083,0.888,0.955,0.469,,,0.179,2.112,,,,0.098,2.519,1.055,0.092,0.181,0.161,,,,,,,,,,,,,,,,,,,5.781,,,0.41,1.033,1.209,,2.579,,2.594,1.281,,0.104,,0.643,1.106,,,,1.329,,0.852,,2.889,,0.597,2.051,0.912,,,,2.39,,1.283,,,,,,,,
1919,1.608,6.137,2.062,0.765,1.177,1.019,0.456,,,0.229,2.311,,,,0.132,1.761,0.82,0.144,0.11,0.117,,,,,,,,,,,,,,,,,,,4.97,,,0.402,1.134,1.912,,2.924,,1.688,1.554,,0.522,,0.657,3.009,,,,0.731,,0.525,,2.559,,1.394,1.995,1.588,,,,1.85,,1.869,,,,,,,,
1918,1.972,2.866,2.53,1.147,0.784,0.97,0.834,,,0.568,3.772,,,,0.113,1.467,0.706,0.228,0.187,0.172,,,,,,,,,,,,,,,,,,,6.477,,,0.761,0.929,1.798,,,,2.101,1.691,,0.771,,0.494,1.692,,,,0.945,,0.738,,2.646,,1.417,1.76,1.611,,,,2.197,,2.53,,,,,,,,
1917,2.568,,2.944,1.314,0.846,1.016,0.547,,,0.381,2.674,,,,0.1,0.903,1.138,0.131,0.243,0.161,,,,,,,,,,,,,,,,,,,8.725,,,0.492,0.934,1.988,,,,1.5,1.474,,0.645,,0.414,,,,,1.018,,0.759,,2.488,,1.481,1.584,1.771,,,,2.064,,2.323,,,,,,,,
1916,2.966,,2.833,1.242,1.125,1.14,0.63,,,0.449,,,,,0.197,1.644,0.878,0.177,0.245,0.163,,,,,,,,,,,,,,,,,,,7.498,,,,1.258,2.332,,,,1.221,2.057,,0.826,,0.785,,,,,0.991,,0.611,,2.495,,1.934,1.964,1.426,,,,2.491,,0.908,,,,,,,,
1915,3.593,,2.384,1.519,0.987,1.508,0.901,,,0.557,,,,,0.191,1.932,0.92,0.213,0.263,0.12,,,,,,,,,,,,,,,,,,,9.586,,,,1.116,2.533,,,,1.931,2.764,,1.002,,0.95,,,,,1.74,,1.061,,2.399,,1.404,2.057,1.864,,,,2.767,,,,,,,,,,
1914,2.883,,2.195,1.656,1.014,1.279,0.741,,,0.772,,,,,0.222,1.769,0.631,0.209,0.161,0.18,,,,,,,,,,,,,,,,,,,,,,,1.007,2.531,,,,2.176,1.628,,0.555,,1.365,,,,,0.876,,0.95,,3.962,,1.333,2.507,1.936,,,,2.271,,,,,,,,,,
1913,2.36,,2.355,,1.036,1.477,0.703,,,0.624,,,,,0.18,,0.712,0.258,0.262,0.183,,,,,,,,,,,,,,,,,,,,,,,0.644,2.183,,,,1.732,1.042,,0.444,,1.297,,,,,0.631,,0.671,,2.368,,0.997,1.854,1.155,,,,0.815,,,,,,,,,,
1912,3.24,,3.527,,0.871,1.793,0.628,,,0.735,,,,,0.122,,0.854,0.271,0.313,0.306,,,,,,,,,,,,,,,,,,,,,,,0.797,3.242,,,,1.959,0.978,,0.713,,1.263,,,,,0.417,,0.635,,1.117,,1.258,1.872,1.642,,,,1.869,,,,,,,,,,
1911,5.954,,4.308,,0.849,0.941,0.479,,,0.447,,,,,0.152,,1.039,0.32,0.188,0.246,,,,,,,,,,,,,,,,,,,,,,,0.779,1.602,,,,1.959,0.383,,0.497,,0.735,,,,,0.382,,0.66,,2.582,,1.074,1.881,1.685,,,,1.583,,,,,,,,,,
1910,6.295,,3.868,,1.4,1.191,0.694,,,0.42,,,,,0.189,,0.656,0.286,0.261,0.227,,,,,,,,,,,,,,,,,,,,,,,0.982,3.185,,,,1.174,0.746,,0.749,,1.113,,,,,1.323,,0.745,,3.578,,1.532,1.92,1.766,,,,1.668,,,,,,,,,,
1909,3.739,,3.832,,1.538,1.754,1.423,,,0.693,,,,,0.192,,1.073,0.314,0.44,0.239,,,,,,,,,,,,,,,,,,,,,,,1.076,2.999,,,,2.203,1.064,,1.552,,0.922,,,,,2.401,,1.077,,2.375,,1.127,1.158,1.434,,,,0.64,,,,,,,,,,
1908,1.125,,2.4,,2.237,1.368,1.536,,,0.456,,,,,0.219,,0.743,0.304,0.2,0.276,,,,,,,,,,,,,,,,,,,,,,,1.288,2.327,,,,1.83,0.916,,0.594,,0.405,,,,,1.254,,1.098,,3.227,,1.892,1.882,1.764,,,,2.62,,,,,,,,,,
1907,1.207,,1.309,,1.122,2.284,2.347,,,0.766,,,,,0.233,,0.86,0.307,0.289,0.12,,,,,,,,,,,,,,,,,,,,,,,1.42,2.772,,,,1.767,2.201,,1.919,,1.748,,,,,4.372,,0.495,,3.96,,2.134,1.809,2.386,,,,4.237,,,,,,,,,,
1906,1.402,,1.164,,1.152,,1.465,,,0.612,,,,,0.294,,0.646,0.263,0.354,0.222,,,,,,,,,,,,,,,,,,,,,,,1.305,3.478,,,,2.303,2.535,,1.341,,1.468,,,,,3.045,,1.91,,3.073,,1.608,1.821,1.429,,,,4.608,,,,,,,,,,
1905,0.865,,0.952,,1.259,,1.328,,,0.488,,,,,0.242,,0.766,0.256,0.486,0.184,,,,,,,,,,,,,,,,,,,,,,,1.48,3.564,,,,1.72,1.769,,0.36,,0.689,,,,,1.555,,1.933,,0.598,,2.228,1.729,1.396,,,,,,,,,,,,,,
1904,0.643,,0.759,,1.008,,1.492,,,0.916,,,,,0.226,,0.773,0.304,0.698,0.211,,,,,,,,,,,,,,,,,,,,,,,1.394,3.041,,,,0.88,2.158,,0.425,,2.324,,,,,1.408,,1.01,,1.62,,2.188,1.918,1.865,,,,,,,,,,,,,,
1903,0.856,,1.147,,1.103,,1.005,,,0.745,,,,,0.333,,0.715,0.412,0.476,0.201,,,,,,,,,,,,,,,,,,,,,,,1.679,2.539,,,,1.837,1.602,,0.377,,1.599,,,,,1.122,,2.428,,1.701,,1.795,1.125,1.564,,,,,,,,,,,,,,
1902,0.903,,1.094,,0.926,,1.005,,,0.469,,,,,0.239,,0.717,0.329,0.457,0.182,,,,,,,,,,,,,,,,,,,,,,,1.832,1.9,,,,1.365,1.336,,0.65,,0.836,,,,,0.906,,,,,,0.832,0.775,0.682,,,,,,,,,,,,,,
1901,0.669,,0.992,,1.185,,1.139,,,0.931,,,,,0.205,,0.96,0.291,0.503,0.122,,,,,,,,,,,,,,,,,,,,,,,1.662,2.609,,,,0.781,1.502,,0.777,,1.456,,,,,1.938,,,,,,1.96,1.006,1.456,,,,,,,,,,,,,,
1900,0.848,,1.158,,1.349,,1.348,,,0.707,,,,,0.162,,0.87,0.251,0.673,0.111,,,,,,,,,,,,,,,,,,,,,,,2.13,2.369,,,,1.367,0.73,,0.464,,1.716,,,,,1.13,,,,,,1.277,,1.444,,,,,,,,,,,,,,
1899,0.811,,1.567,,1.474,,1.292,,,0.407,,,,,0.098,,0.59,0.29,0.87,0.256,,,,,,,,,,,,,,,,,,,,,,,1.597,2.093,,,,1.118,0.405,,0.855,,0.974,,,,,1.261,,,,,,0.77,,0.84,,,,,,,,,,,,,,
1898,0.592,,1.184,,1.417,,1.63,,,0.866,,,,,0.203,,0.792,0.357,0.516,0.164,,,,,,,,,,,,,,,,,,,,,,,2.987,2.816,,,,0.578,1.961,,1.191,,1.696,,,,,1.144,,,,,,1.431,,2.186,,,,,,,,,,,,,,
1897,0.829,,1.056,,1.235,,1.749,,,0.812,,,,,0.165,,1.015,0.321,0.393,0.091,,,,,,,,,,,,,,,,,,,,,,,2.819,2.787,,,,1.888,1.516,,0.522,,2.015,,,,,1.004,,,,,,1.823,,2.226,,,,,,,,,,,,,,
1896,0.916,,0.827,,0.948,,2.025,,,0.676,,,,,0.158,,0.969,0.347,0.288,0.117,,,,,,,,,,,,,,,,,,,,,,,2.739,2.045,,,,2.005,1.165,,1.266,,1.192,,,,,0.932,,,,,,1.41,,1.457,,,,,,,,,,,,,,
1895,0.755,,0.772,,0.92,,2.814,,,0.705,,,,,0.17,,0.936,0.365,0.221,0.235,,,,,,,,,,,,,,,,,,,,,,,4.521,4.078,,,,1.185,2.272,,2.031,,2.019,,,,,1,,,,,,2.434,,2.256,,,,,,,,,,,,,,
1894,1.104,,0.968,,0.485,,3.447,,,0.735,,,,,0.277,,1.191,0.517,0.193,0.092,,,,,,,,,,,,,,,,,,,,,,,3.844,3.562,,,,2.378,2.179,,0.882,,1.929,,,,,0.906,,,,,,2.82,,2.251,,,,,,,,,,,,,,
1893,1.161,,1.303,,0.931,,2.968,,,0.367,,,,,0.159,,1.357,0.247,0.165,0.255,,,,,,,,,,,,,,,,,,,,,,,2.442,,,,,2.2,1.266,,1.334,,1.659,,,,,1.537,,,,,,1.13,,0.975,,,,,,,,,,,,,,
1892,1.253,,0.994,,1.511,,3.478,,,0.884,,,,,0.324,,0.649,0.362,0.424,0.223,,,,,,,,,,,,,,,,,,,,,,,3.732,,,,,1.088,1.37,,1.421,,2.563,,,,,1.675,,,,,,1.644,,1.693,,,,,,,,,,,,,,
1891,1.206,,1.067,,1.333,,5.16,,,1.063,,,,,0.373,,0.767,0.502,0.057,0.124,,,,,,,,,,,,,,,,,,,,,,,2.518,,,,,2.042,2.47,,0.877,,2.721,,,,,1.115,,,,,,2.683,,1.52,,,,,,,,,,,,,,
1890,1.185,,0.789,,1.774,,6.665,,,0.557,,,,,0.217,,0.705,0.152,0.043,0.218,,,,,,,,,,,,,,,,,,,,,,,1.231,,,,,2.249,0.951,,0.909,,2.258,,,,,2.202,,,,,,3.091,,1.64,,,,,,,,,,,,,,
1889,1.068,,0.767,,1.518,,17.176,,,0.802,,,,,0.402,,0.451,0.453,0.07,0.153,,,,,,,,,,,,,,,,,,,,,,,1.364,,,,,1.287,2.351,,0.537,,2.145,,,,,1.919,,,,,,3.829,,2.51,,,,,,,,,,,,,,
1888,1.296,,0.84,,1.813,,,,,0.578,,,,,0.271,,0.8,0.217,0.153,0.202,,,,,,,,,,,,,,,,,,,,,,,1.092,,,,,1.423,1.792,,0.296,,1.567,,,,,2.51,,,,,,2.087,,1.913,,,,,,,,,,,,,,
1887,1.022,,0.838,,1.51,,,,,1.195,,,,,0.183,,0.641,0.219,0.181,0.105,,,,,,,,,,,,,,,,,,,,,,,1.055,,,,,1.241,1.557,,1.461,,0.597,,,,,1.145,,,,,,1.851,,1.692,,,,,,,,,,,,,,
1886,1.121,,0.658,,1.73,,,,,0.567,,,,,0.307,,0.504,0.34,0.181,0.165,,,,,,,,,,,,,,,,,,,,,,,0.983,,,,,1.603,2.104,,1.733,,1.084,,,,,2.278,,,,,,1.982,,2.103,,,,,,,,,,,,,,
1885,1.119,,0.652,,1.272,,,,,0.795,,,,,0.289,,0.662,0.353,0.184,0.174,,,,,,,,,,,,,,,,,,,,,,,1.254,,,,,1.552,2.439,,1.936,,1.347,,,,,2.424,,,,,,2.691,,2.325,,,,,,,,,,,,,,
1884,0.885,,0.563,,1.108,,,,,0.682,,,,,0.105,,0.874,0.355,0.368,0.102,,,,,,,,,,,,,,,,,,,,,,,0.911,,,,,2.073,0.996,,1.263,,2.737,,,,,,,,,,,2.428,,1.842,,,,,,,,,,,,,,
1883,1.008,,0.455,,0.733,,,,,0.901,,,,,0.217,,0.81,0.342,0.413,0.209,,,,,,,,,,,,,,,,,,,,,,,1.008,,,,,0.9,1.563,,1.204,,2.629,,,,,,,,,,,2.618,,2.707,,,,,,,,,,,,,,
1882,0.709,,0.24,,0.741,,,,,1.021,,,,,0.259,,1.178,0.375,0.575,0.049,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,1.195,0.869,,1.215,,2.892,,,,,,,,,,,2.678,,2.745,,,,,,,,,,,,,,
1881,1.412,,0.708,,0.603,,,,,0.821,,,,,0.274,,1,0.304,0.676,0.158,,,,,,,,,,,,,,,,,,,,,,,0.429,,,,,1.126,0.582,,0.981,,1.389,,,,,,,,,,,3.069,,2.613,,,,,,,,,,,,,,
1880,1.315,,0.922,,0.594,,,,,0.75,,,,,0.253,,0.673,0.439,0.286,0.317,,,,,,,,,,,,,,,,,,,,,,,0.207,,,,,0.376,0.213,,2.753,,0.327,,,,,,,,,,,1.265,,1.174,,,,,,,,,,,,,,
1879,1.393,,1.022,,0.536,,,,,1.671,,,,,0.24,,0.89,0.222,0.322,0.225,,,,,,,,,,,,,,,,,,,,,,,1.425,,,,,0.186,1.225,,2.2,,2.499,,,,,,,,,,,2.598,,2.371,,,,,,,,,,,,,,
1878,1.333,,0.619,,0.484,,,,,1.994,,,,,0.422,,1.037,0.385,0.326,0.198,,,,,,,,,,,,,,,,,,,,,,,1.105,,,,,1.311,1.503,,1.865,,4.057,,,,,,,,,,,2.989,,2.815,,,,,,,,,,,,,,
1877,1.136,,0.363,,,,,,,1.357,,,,,0.42,,1.327,0.293,0.23,0.255,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,1.742,1.451,,0.561,,3.052,,,,,,,,,,,2.406,,2.284,,,,,,,,,,,,,,
1876,0.816,,0.232,,,,,,,1.783,,,,,0.43,,1.319,0.257,0.517,0.189,,,,,,,,,,,,,,,,,,,,,,,1.225,,,,,1.314,2.239,,1.085,,3.424,,,,,,,,,,,2.983,,2.835,,,,,,,,,,,,,,
1875,1.029,,0.427,,,,,,,1.743,,,,,0.261,,1.412,0.296,0.589,0.295,,,,,,,,,,,,,,,,,,,,,,,0.656,,,,,1.83,0.824,,0.196,,3.562,,,,,,,,,,,2.322,,2.199,,,,,,,,,,,,,,
1874,1.309,,0.613,,,,,,,1.134,,,,,0.215,,1.725,0.235,0.293,0.205,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,0.989,1.168,,0.699,,0.396,,,,,,,,,,,1.571,,1.637,,,,,,,,,,,,,,
1873,1.028,,0.307,,,,,,,1.389,,,,,0.297,,1.099,0.486,0.495,0.164,,,,,,,,,,,,,,,,,,,,,,,1.233,,,,,1.059,2.435,,1.69,,1.335,,,,,,,,,,,2.113,,2.105,,,,,,,,,,,,,,
1872,1.746,,0.601,,,,,,,2.15,,,,,0.219,,1.304,0.351,0.74,0.175,,,,,,,,,,,,,,,,,,,,,,,1.159,,,,,1.774,2.472,,2.222,,3.013,,,,,,,,,,,3.266,,2.539,,,,,,,,,,,,,,
1871,1.967,,0.713,,,,,,,1.305,,,,,0.197,,0.962,0.252,0.482,0.185,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,1.835,1.041,,1.526,,2.317,,,,,,,,,,,1.926,,1.643,,,,,,,,,,,,,,
1870,1.591,,0.552,,,,,,,1.605,,,,,0.271,,1.009,0.444,0.65,0.135,,,,,,,,,,,,,,,,,,,,,,,1.219,,,,,1.364,2.01,,1.817,,2.257,,,,,,,,,,,2.734,,3.151,,,,,,,,,,,,,,
1869,1.377,,0.663,,,,,,,1.369,,,,,0.243,,1.501,0.377,0.584,0.135,,,,,,,,,,,,,,,,,,,,,,,1.149,,,,,1.663,,,3.79,,2.426,,,,,,,,,,,3.137,,3.796,,,,,,,,,,,,,,
1868,1.397,,0.791,,,,,,,2.035,,,,,0.205,,1.414,0.446,0.694,0.292,,,,,,,,,,,,,,,,,,,,,,,1.138,,,,,2.027,,,2.523,,3.197,,,,,,,,,,,3.027,,3.148,,,,,,,,,,,,,,
1867,1.271,,0.639,,,,,,,1.119,,,,,0.175,,0.799,0.28,0.432,0.076,,,,,,,,,,,,,,,,,,,,,,,0.962,,,,,1.244,,,2.23,,2.689,,,,,,,,,,,2.238,,2.077,,,,,,,,,,,,,,
1866,1.39,,0.593,,,,,,,2.301,,,,,0.316,,1.166,0.36,0.7,0.224,,,,,,,,,,,,,,,,,,,,,,,0.941,,,,,1.63,,,4.162,,1.921,,,,,,,,,,,2.956,,3.029,,,,,,,,,,,,,,
1865,0.984,,0.353,,,,,,,1.995,,,,,0.146,,1.794,0.45,0.534,0.09,,,,,,,,,,,,,,,,,,,,,,,0.435,,,,,1.441,,,3.122,,5.226,,,,,,,,,,,1.96,,2.21,,,,,,,,,,,,,,
1864,1.046,,0.861,,,,,,,1.639,,,,,0.288,,1.349,0.489,0.619,0.189,,,,,,,,,,,,,,,,,,,,,,,0.786,,,,,0.947,,,2.445,,2.448,,,,,,,,,,,2.144,,2.185,,,,,,,,,,,,,,
1863,0.766,,0.313,,,,,,,2.696,,,,,0.351,,1.39,0.254,0.495,0.341,,,,,,,,,,,,,,,,,,,,,,,0.382,,,,,1.264,,,1.641,,1.838,,,,,,,,,,,2.546,,2.081,,,,,,,,,,,,,,
1862,0.895,,0.764,,,,,,,1.76,,,,,0.292,,1.01,0.423,0.512,0.228,,,,,,,,,,,,,,,,,,,,,,,0.953,,,,,0.339,,,2.515,,1.193,,,,,,,,,,,0.992,,1.681,,,,,,,,,,,,,,
1861,0.997,,0.659,,,,,,,2.649,,,,,0.151,,1.12,0.365,0.58,0.16,,,,,,,,,,,,,,,,,,,,,,,0.748,,,,,1.196,,,2.265,,1.485,,,,,,,,,,,1.794,,2.535,,,,,,,,,,,,,,
1860,1.364,,0.605,,,,,,,2.996,,,,,0.259,,1.193,0.49,0.511,0.372,,,,,,,,,,,,,,,,,,,,,,,0.794,,,,,0.368,,,2.42,,1.524,,,,,,,,,,,3.479,,2.391,,,,,,,,,,,,,,
